Name_Car,Miles,Discount,With_Discount,Purchase_price
Chevrolet Silverado 1500LT Crew Cab Short Bed 4WD,"55,744 ","35,566","36,195",none
" Ram 1500Big Horn Crew Cab 5'7"" Box 4WD","27,696 ",none,none,"36,750"
Hyundai ElantraValue Edition 2.0L Sedan Automatic,"39,982 ",none,none,"15,598"
2021 Toyota CamryLE Automatic,",883 ",none,none,"21,496"
2020 Toyota CorollaLE CVT,"91,679 ",none,none,"13,749"
2021 Kia ForteLXS IVT,"13,749 ","18,066","18,146",none
2020 Toyota CorollaLE CVT,"69,599 ",none,none,"15,497"
2020 Volkswagen Tiguan2.0T SE 4MOTION,"64,234 ",none,none,"17,996"
2021 Dodge ChargerSXT RWD,"41,234 ","19,625","22,825",none
2021 Toyota CamrySE Automatic,"54,401 ",none,none,"20,225"
2021 Toyota CorollaLE CVT,"40,632 ",none,none,"18,325"
2021 Honda AccordSport SE 1.5T CVT,"105,677 ",none,none,"19,995"
"2020 Ram 1500Big Horn Crew Cab 5'7"" Box 4WD","27,150 ",none,none,"33,750"
2020 BMW 3 Series330i RWD,"28,489 ",none,none,"28,996"
2021 Toyota CorollaLE CVT,"58,179 ",none,none,"18,999"
2020 Honda CivicLX Sedan CVT,"45,848 ","17,496","18,569",none
2021 Toyota CorollaLE CVT,"59,773 ",none,none,"18,999"
2021 Toyota CorollaLE CVT,"59,735 ",none,none,"18,999"
2019 Chevrolet EquinoxLT with 1LT FWD,"102,375 ",none,none,"14,497"
2021 Jeep Grand Cherokee WKLimited 4WD,"43,768 ",none,none,"29,750"
2019 Volkswagen JettaS Automatic,"74,512 ","13,701","15,201",none
2017 Chevrolet MalibuLT with 1LT,"75,852 ",none,none,"12,999"
2021 Toyota CorollaLE CVT,"59,165 ",none,none,"18,999"
2021 Toyota CorollaLE CVT,"60,444 ",none,none,"18,999"
2021 Jeep Grand Cherokee WKHigh Altitude 4WD,"21,095 ",none,none,"39,996"
2020 Honda CR-VEX FWD,"44,278 ",none,none,"23,496"
2021 Toyota CorollaLE CVT,"60,199 ",none,none,"18,999"
2020 Nissan Altima2.5 SV AWD,"62,059 ",none,none,"16,993"
2020 Nissan RogueS FWD,"65,389 ","17,831","18,294",none
2021 Toyota CorollaLE CVT,"60,669 ",none,none,"18,999"
2021 Toyota CorollaLE CVT,"61,255 ",none,none,"18,999"
2018 Ford F-150XLT SuperCrew 5.5' Box 4WD,"81,100 ","29,595","29,995",none
2018 Jeep Grand CherokeeTrailhawk 4WD,"54,621 ",none,none,"25,996"
Honda CR-VEX FWD,"49,404 ",none,none,"21,725"
Nissan VersaSV CVT,"63,292 ",none,none,"15,477"
Ford F-150Limited SuperCrew 5.5' Box 4WD,"52,248 ",none,none,"47,989"
2021 Kia SoulS IVT,"20,027 ","17,599","18,360",none
2022 Toyota CorollaLE CVT,"26,688 ","19,984","20,081",none
2020 Chevrolet Silverado 1500LT Crew Cab Short Bed 4WD,"55,744 ","35,566","36,195",none
2021 Jeep CompassTrailhawk 4WD,"49,382 ",none,none,"21,996"
"2017 GMC Sierra 15002WD Reg Cab 133.0""","17,966 ",none,none,"19,995"
2017 Ford F-150Limited SuperCrew 5.5' Box 4WD,"94,828 ",none,none,"35,999"
2021 Toyota CorollaLE CVT,"20,002 ","20,548","20,729",none
2020 Nissan MuranoSL FWD,"41,806 ",none,none,"25,498"
2020 BMW X3sDrive30i RWD,"60,566 ",none,none,"23,993"
2021 Toyota CorollaLE CVT,"60,551 ",none,none,"18,999"
"2019 Ram 1500Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","59,772 ",none,none,"30,725"
"2020 Ram 1500Big Horn Crew Cab 5'7"" Box 4WD","27,696 ",none,none,"36,750"
2021 Toyota CorollaLE CVT,"60,959 ",none,none,"18,999"
2022 Toyota CorollaLE CVT,"28,255 ",none,none,"21,990"
2018 Chevrolet MalibuLT with 1LT,"72,547 ",none,none,"13,990"
2016 Toyota CamrySE Special Edition I4 Automatic,"38,556 ",none,none,"16,499"
2019 Kia ForteLXS IVT,"60,184 ",none,none,"12,995"
2020 Chevrolet MalibuLT,"65,390 ",none,none,"13,993"
2022 Toyota CamryLE Automatic FWD,"22,890 ",none,none,"20,998"
2017 Honda CivicEX Sedan CVT,"95,873 ",none,none,"14,997"
2021 Chevrolet MalibuLT,"12,356 ",none,none,"17,698"
2020 Honda CivicEX Sedan CVT,"72,146 ",none,none,"20,497"
2016 Chevrolet Silverado 1500LT Crew Cab Short Box 4WD,"107,148 ",none,none,"24,999"
2018 Hyundai ElantraValue Edition 2.0L Sedan Automatic,"39,982 ",none,none,"15,598"
2022 Toyota CorollaLE CVT,"9,716 ","20,984","21,110",none
2020 Chevrolet EquinoxPremier with 1LZ FWD,"31,428 ",none,none,"20,997"
2020 BMW 3 Series330i RWD,"14,848 ",none,none,"32,997"
2020 Hyundai ElantraSEL 2.0L IVT,"69,915 ",none,none,"13,749"
2021 BMW X1xDrive28i,"37,184 ",none,none,"28,997"
"2022 Ram 1500Big Horn Crew Cab 5'7"" Box 4WD","25,060 ",none,none,"42,250"
Ford ExplorerXLT RWD,"60,725 ","26,179","25,886",none
Nissan Altima2.5 S FWD,"41,458 ",none,none,"20,480"
Toyota CorollaLE CVT,"80,589 ",none,none,"16,991"
2019 Jeep CherokeeLimited FWD,"80,574 ","17,590","18,767",none
2015 Toyota CorollaL Automatic,"29,485 ",none,none,"12,995"
2022 Toyota CorollaLE CVT,"7,453 ","20,688","22,714",none
2021 Nissan SentraSV CVT,"33,486 ",none,none,"17,325"
"2020 Ram 1500Big Horn Crew Cab 5'7"" Box 4WD","48,413 ",none,none,"34,750"
2021 Chevrolet EquinoxLT with 1LT FWD,"41,617 ",none,none,"17,598"
2016 Honda OdysseyEX-L with Navigation,"102,489 ",none,none,"14,996"
2020 Ford F-150XLT SuperCrew 5.5' Box 4WD,"32,178 ",none,none,"37,995"
2020 Jeep CherokeeLimited 4WD,"48,869 ",none,none,"22,723"
2018 Honda CR-VEX FWD,"49,404 ",none,none,"21,725"
2016 Nissan RogueS AWD,"100,853 ",none,none,"13,500"
2020 Honda CivicLX Sedan CVT,"31,610 ",none,none,"18,998"
2018 Ford FusionSE FWD,"65,879 ",none,none,"16,650"
2021 Toyota CorollaLE CVT,"4,518 ","21,644","22,425",none
2021 Toyota CorollaLE CVT,"6,314 ","21,534","22,501",none
2018 Ford ExplorerPlatinum 4WD,"62,254 ","23,990","24,990",none
2021 Volkswagen Tiguan2.0T SE R-Line Black 4MOTION,"59,560 ",none,none,"22,999"
2021 Toyota CorollaLE CVT,"20,412 ",none,none,"19,949"
2019 Jeep Grand CherokeeSummit 4WD,"62,655 ",none,none,"31,999"
2019 Jeep CherokeeLatitude Plus 4WD,"99,368 ",none,none,"16,500"
2020 Honda CR-VEX-L FWD,"29,950 ",none,none,"25,225"
2022 Hyundai TucsonSEL FWD,"18,611 ",none,none,"26,998"
2020 Ford ExplorerXLT RWD,"58,999 ",none,none,"24,497"
2020 Jeep CherokeeLatitude FWD,"42,951 ",none,none,"19,900"
2021 Nissan RogueSV FWD,"65,434 ",none,none,"19,598"
2020 Toyota CorollaLE CVT,"46,498 ","18,455","19,162",none
2015 Lexus ISIS 250 Sedan RWD,"74,431 ",none,none,"20,497"
2020 Toyota CorollaSE CVT,"47,992 ","19,143","19,539",none
2019 Ford ExpeditionMax XLT RWD,"98,249 ",none,none,"29,997"
2022 Toyota CorollaLE CVT,"14,018 ","20,753","21,402",none
2021 Lexus RXRX 350 FWD,"45,590 ",none,none,"36,997"
2021 Nissan VersaSV CVT,"63,292 ",none,none,"15,477"
2021 Volkswagen JettaS Automatic,"35,023 ",none,none,"19,497"
2021 Dodge ChargerSXT RWD,"63,253 ","22,977","23,977",none
2021 BMW X3sDrive30i RWD,"26,906 ",none,none,"35,999"
2022 Ford EdgeTitanium,"24,474 ","29,062","29,843",none
"2019 Ram 1500Longhorn Crew Cab 5'7"" Box 4WD","16,635 ",none,none,"47,597"
2017 Nissan TitanS Single Cab 2WD,"49,863 ",none,none,"13,995"
2020 Lexus NXNX 300 FWD,",715 ",none,none,"35,998"
2021 Chevrolet Silverado 1500RST Crew Cab Short Bed 4WD,"27,008 ","42,470","42,970",none
2021 Chevrolet Silverado 1500RST Crew Cab Short Bed 4WD,"29,360 ","41,970","42,970",none
2021 Toyota RAV4XLE AWD,"75,356 ",none,none,"25,499"
2020 GMC TerrainSLE FWD,"62,471 ",none,none,"18,987"
